dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,NFKB1,1,1266,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,NFKB2,1,244,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,NFKBIA,1,2350,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,NLRP3,1,2,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,RELA,1,1396,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,RELB,1,483,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,STAT3,1,5741,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,TICAM1,1,268,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,TLR2,1,38,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,TLR4,1,811,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,TNF,1,0,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,TNFRSF1A,1,5636,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,BNIP3,1,37985,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,CA9,1,1330,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,EGLN1,1,2278,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,EPAS1,1,6371,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,GCLM,1,5808,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,GPX1,0,0,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,HIF1A,1,24583,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,HMOX1,1,64262,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,LDHA,1,75674,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,NFE2L2,1,8554,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,NQO1,1,15815,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,PDK1,1,1094,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,PRDX1,1,56984,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,SLC2A1,1,2409,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,SOD1,1,31753,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,SOD2,1,19789,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,TXN,1,122196,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,hypoxia_oxidative_stress,VEGFA,1,4566,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,ACAN,1,15845,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,B3GAT1,1,0,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,BGN,1,7345,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,CILP,1,610,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,COL2A1,1,2585,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,COL9A1,1,41,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,COL9A2,1,472,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,COL9A3,1,1410,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,COMP,1,3245,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,FMOD,1,8495,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,HAPLN1,1,11737,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,HAS2,1,86,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,KRT19,1,67,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,MATN3,1,98,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,disc_matrix_homeostasis,SOX9,1,4140,72099228
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,ADAMTS4,1,6,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,ADAMTS5,1,3335,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,COL1A1,1,33880,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,COL1A2,1,121196,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,COL3A1,1,37054,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,COL5A1,1,2902,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,COL5A2,1,14419,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,COL6A1,1,55254,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,COL6A2,1,41929,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,COL6A3,1,31766,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,DCN,1,479834,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,FN1,1,319609,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,LOX,1,33895,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,LOXL2,1,3286,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,LUM,1,263268,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,MMP2,1,9863,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,MMP3,1,2110,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,MMP9,1,0,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,MMP13,1,11,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,POSTN,1,5426,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,SPARC,1,70984,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,TIMP1,1,353968,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,TIMP2,1,42025,101714852
GSE230808,GSM7235334,SP21.011,AF,diseased,ecm_collagen_remodeling,TNC,1,4175,101714852
