dataset,gsm,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE251686,GSM7986005,disc_matrix_homeostasis,HAS2,1,451,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,KRT19,1,4,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,MATN3,1,4,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,SOX9,1,6522,11586351
GSE251686,GSM7986006,ecm_collagen_remodeling,ADAMTS4,1,247,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,ADAMTS5,1,220,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,COL1A1,1,131113,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,COL1A2,1,87873,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,COL3A1,1,86274,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,COL5A1,1,11743,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,COL5A2,1,11025,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,COL6A1,1,24187,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,COL6A2,1,21754,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,COL6A3,1,14934,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,DCN,1,233844,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,FN1,1,1188685,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,LOX,1,6848,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,LOXL2,1,10243,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,LUM,1,227616,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,MMP2,1,4039,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,MMP3,1,745,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,MMP9,1,2888,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,MMP13,1,8679,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,POSTN,1,58465,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,SPARC,1,166433,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,TIMP1,1,35072,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,TIMP2,1,7670,16969754
GSE251686,GSM7986006,ecm_collagen_remodeling,TNC,1,2579,16969754
GSE251686,GSM7986006,inflammatory_nfkb,CCL2,1,310,16969754
GSE251686,GSM7986006,inflammatory_nfkb,CCL5,1,106,16969754
GSE251686,GSM7986006,inflammatory_nfkb,CXCL8,1,469,16969754
GSE251686,GSM7986006,inflammatory_nfkb,FOS,1,36065,16969754
GSE251686,GSM7986006,inflammatory_nfkb,IKBKB,1,104,16969754
GSE251686,GSM7986006,inflammatory_nfkb,IKBKG,1,1,16969754
GSE251686,GSM7986006,inflammatory_nfkb,IL1B,1,48,16969754
GSE251686,GSM7986006,inflammatory_nfkb,IL6,1,27,16969754
