dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,supplied_value_sum,total_supplied_value
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,HIF1A,1,2125.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,HMOX1,1,1117.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,LDHA,1,8786.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,NFE2L2,1,3573.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,NQO1,1,73.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,PDK1,1,108.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,PRDX1,1,832.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,SLC2A1,1,718.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,SOD1,1,4207.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,SOD2,1,45271.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,TXN,1,3851.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,VEGFA,1,2945.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,ACAN,1,4340.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,B3GAT1,1,50.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,BGN,1,734.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,CILP,1,2643.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,COL2A1,1,7818.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,COL9A1,1,8.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,COL9A2,1,389.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,COL9A3,1,136.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,COMP,1,755.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,FMOD,1,9243.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,HAPLN1,1,2871.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,HAS2,1,42.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,KRT19,1,1.00000000,8815975.00000000
