dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,COL5A1,10,2449,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,COL5A2,10,13215,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,COL6A1,10,44718,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,COL6A2,10,45882,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,COL6A3,10,36560,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,DCN,10,726636,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,FN1,10,386450,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,LOX,10,45375,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,LOXL2,10,1629,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,LUM,10,276895,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,MMP2,10,16402,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,MMP3,10,416,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,MMP9,10,0,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,MMP13,10,0,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,POSTN,10,5717,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,SPARC,10,48151,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,TIMP1,10,250366,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,TIMP2,10,51625,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,TNC,10,4886,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,inflammatory_nfkb,CCL2,10,2850,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,inflammatory_nfkb,CCL5,10,33,90844059
